"","Jelect","jblogel","jnewspaper","jnatradio","jtalkback","jdiscussp","jrallies","jpersuade","jpcmoney","jpcposter","jlablike","jnatlike","jgrnlike","jnzflike","jactlike","junflike","jmaolike","jmnplike","jmostlike","jmostlikex","jrepublic","jsphealth","jspedu","jspunemp","jspdefence","jspsuper","jspbusind","jsppolice","jspwelfare","jspenviro","jgovpdk","jgovplab","jgovpnat","jgovpgrn","jgovpnzf","jgovpact","jgovunf","jgovpmao","jgovpmnp","jnevervoteno","jnevervotelab","jnevervotenat","jnevervotegrn","jnevervotenzf","jnevervoteact","jnevervoteunf","jnevervotemao","jnevervotemnp","jnevervoteoth","jnevervoteothx","jfirstpx","jsecondp","jage","jlanguage","jlanguagex","jrollsex","jhqual","jwkft","jwkpt","jwkun","jwkret","jwkdis","jwksch","jwkunpo","jwkunpi","jhhincome","jhhadults","jhhchn","jmarital","r_jind","jlablr","jnatlr","jgrnlr","jnzflr","jactlr","junflr","jmaolr","jmnplr","jslflr","jrelservices","jrelnone","jrelang","jrelpres","jrelcath","jrelmeth","jrelbap","jrellat","jrelrat","jrelfun","jrelothc","jrelnonc","jreligionx","jreligiousity","jethnicity_e","jethnicity_m","jethnicity_p","jethnicity_a","jethnicity_o","jethnicityx","jethnicmost","jethnicmostx","jpartyvote","jelecvote","njptyvote","njelecvote","jdiffvoting","X_singlefav"
"27",10,NA,NA,NA,NA,"Yes, occasionally","No","No","No","No","2","10","1","0","1","2","0","0","National","","Retain Queen as head of state","More","More","Less","Same as now","More","Same as now","Same as now","Much less","Same as now","No, can't recall which parties formed government after 2008 election",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, NZ First",NA,NA,"Yes, Maori Party","Yes, Mana Party",NA,"","","Don't know",29,"English","",NA,"Non-degree professional trade or technical tertiary qualification","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ110,800-$NZ147,699",2,NA,"Married, in a civil union or living with a partner","”AGRICULTURAL”",NA,NA,NA,NA,NA,NA,"Left",NA,"Don't know","Never","No religion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Just not very religious","NZ European",NA,NA,NA,NA,"",NA,"","National","National","National","National","Voting can make a big difference to what happens","National"
"28",41,NA,"Rarely","Not at all","Not at all","No","No","No","No","No","5","7","5","0","0","5","7","2","National","","Become a republic with an NZ head of state","Same as now","Same as now","Less","Same as now","Same as now","More","More","Same as now","Less",NA,NA,NA,NA,NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,NA,NA,NA,"Yes, NZ First",NA,NA,NA,"Yes, Mana Party",NA,"","","Maori Party",57,"English","",NA,"Non-degree professional trade or technical tertiary qualification","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ147,700 or over",3,NA,"Married, in a civil union or living with a partner","”PROFESSIONAL AND RELATED SERVICES”","Left","Right","Centre","8","8","8","2","Left","Centre","Once a year",NA,"Anglican",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Just not very religious","NZ European",NA,NA,NA,NA,"",NA,"",NA,NA,"Nonvote","Nonvote","Voting won't make much difference to what happens","National"
"29",5,NA,"Often","Not at all","Not at all","Yes, occasionally","No","No","No","No","7","4","9","0","0","2","3","0","Green","","Become a republic with an NZ head of state","More","More","Same as now","Less","Same as now","Less","Same as now","Same as now","More",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,NA,NA,NA,"Yes, NZ First","Yes, Act",NA,NA,"Yes, Mana Party",NA,"","","Labour",54,"English","",NA,"University degree completed","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ110,800-$NZ147,699",2,NA,"Married, in a civil union or living with a partner","”HEALTH”","4","7","1","8","9","Centre","3","3","4","2-3 times a month",NA,"Anglican",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Very religious",NA,NA,NA,NA,"Other","AMERICAN NZ",NA,"","Green","Labour","Green","Labour","Voting can make a reasonable amount of difference to what happens","Green"
"30",12,NA,NA,NA,NA,"Yes, rarely","No","Yes, rarely","No","No","10","8","5","5","5","Don't know","5","0","Labour","","Become a republic with an NZ head of state","Same as now","Same as now","Less","Less","Same as now","Same as now","Same as now","Less","Same as now",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,"Yes, Act helped form government after 2008 election",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, Mana Party",NA,"","","National",37,"Another language","GUJARATI",NA,"University degree completed","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ76,100-$NZ110,799",2,1,"Married, in a civil union or living with a partner","”HEALTH”","Right","Right","Left","Right","Left","Left","Left","Left","Right","2-3 times a month",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-Christian","HINDU","Very religious",NA,NA,NA,"Chinese, Indian or other Asian",NA,"","Chinese, Indian or other Asian","","National","Labour","Nonvote","Nonvote","Don't know","Labour"
"31",20,NA,NA,NA,NA,"No","No","No","No","No","7","2","6",NA,"1",NA,NA,NA,"Labour","","Retain Queen as head of state","More","More","Less","Same as now","Same as now","Much less","Same as now","Less","Less",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,NA,"Yes, National",NA,NA,"Yes, Act","Yes, United Future",NA,NA,NA,"","","Labour",75,"English","",NA,"Secondary education to School Certificate or NCEA",NA,NA,NA,"Retired",NA,NA,NA,NA,"Less than $NZ20,000",2,NA,"Married, in a civil union or living with a partner","”MANUFACTURING”","2","Right","4","Centre","Right","Right","Don't know","Don't know","4","Never","No religion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Just not very religious","NZ European",NA,NA,NA,NA,"",NA,"","NZ First","Labour","NZ First","Labour","Voting can make some difference to what happens","Labour"
"32",11,NA,"Rarely","Not at all","Not at all","Yes, occasionally","No","No","No","No","8","4","7","3","0","0","2","2","Labour","","Retain Queen as head of state","Same as now","Same as now","Less","Same as now","Same as now","More","Same as now","Less","More","No, can't recall which parties formed government after 2008 election",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, Act","Yes, United Future",NA,NA,NA,"","","Green",NA,"English","",NA,"Secondary education to School Certificate or NCEA","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ147,700 or over",4,NA,"Married, in a civil union or living with a partner","”RETAIL TRADE”","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Centre","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other Christian",NA,"SPIRITURALIST","Somewhat religious","NZ European",NA,NA,NA,NA,"",NA,"","Labour","Labour","Labour","Labour","Voting can make a big difference to what happens","Labour"
"33",62,NA,NA,"Often",NA,"Yes, rarely","No","No","No","No","8","1","8","0","0","0","0","2","Labour","","Become a republic with an NZ head of state","Much more","Much more","Don't know","Less","Don't know","Less","Same as now","Less","Same as now",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,"No party for which I would never vote",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","Green",56,"Another language","SINHALESE",NA,"University degree completed","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ76,100-$NZ110,799",2,2,"Married, in a civil union or living with a partner","”UNCLASSIFED”","1","Right","1","Don't know","Don't know","Don't know","Don't know","Don't know","3","2-11 times a year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-Christian","BUDDHISM","Just not very religious",NA,NA,NA,"Chinese, Indian or other Asian",NA,"",NA,"","Labour","Labour","Labour","Labour","Voting can make a reasonable amount of difference to what happens","Labour"
"34",53,NA,"Often","Sometimes","Not at all","Yes, occasionally","No","No","No","No","5","7","6","0","4","Don't know","6","0","National","","Retain Queen as head of state","Much more","Much more","Same as now","Same as now","Same as now","Same as now","Much more","Same as now","More",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,NA,NA,NA,"Yes, NZ First",NA,NA,NA,"Yes, Mana Party",NA,"","","Maori Party",41,"English","",NA,"University degree completed",NA,"Working part-time for pay or other income",NA,NA,NA,NA,NA,NA,"$NZ76,100-$NZ110,799",2,1,"Married, in a civil union or living with a partner","”AGRICULTURAL”","4","6","2","7","9","6","Centre","2","Centre","Never","No religion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Have no religious beliefs","NZ European",NA,NA,NA,NA,"",NA,"","National","National","National","National","Voting can make a reasonable amount of difference to what happens","National"
"35",44,NA,"Sometimes","Not at all","Not at all","Yes, occasionally","No","Yes, occasionally","No","No","7","4","8","0","2","Don't know","1","1","Green","","Don't know","Same as now","Same as now","Same as now","Same as now","Same as now","Same as now","Same as now","Same as now","Same as now",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,NA,NA,NA,"Yes, NZ First","Yes, Act",NA,"Yes, Maori Party","Yes, Mana Party","Yes, another party","LEGALISE CANNABIS","","Labour",29,"English","",NA,"Non-degree professional trade or technical tertiary qualification",NA,"Working part-time for pay or other income",NA,NA,NA,NA,NA,NA,"$NZ51,400-$NZ76,099",2,0,"Married, in a civil union or living with a partner","”TRANSPORTATION”","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Never","No religion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Just not very religious","NZ European",NA,NA,NA,NA,"",NA,"","Green","8","Green","Conservative","Voting can make a big difference to what happens","Green"
"36",59,NA,"Often","Often","Rarely","Yes, occasionally","No","No","No","No","3","6","5","1","2","0","5","6","National","","Become a republic with an NZ head of state","Less","Same as now","Less","Much less","Same as now","More","Same as now","Less","More",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,NA,NA,NA,"Yes, NZ First",NA,"Yes, United Future",NA,NA,NA,"","","Don't know",50,"English","",NA,"University degree completed","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ147,700 or over",2,2,"Married, in a civil union or living with a partner","”COMMUNICATION”","3","7","3","8","Right","6","6","2","7","Never","No religion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Have no religious beliefs","NZ European",NA,NA,NA,NA,"",NA,"","National","National","Nonvote","Nonvote","Voting can make some difference to what happens","National"
"37",42,"Visited a political blog for election information","Sometimes","Sometimes","Not at all","Yes, occasionally","No","No","Yes, rarely","No","9","1","8","5","0","2","5","7","Labour","","Become a republic with an NZ head of state","More","Much more","Same as now","Less","Same as now","Same as now","Same as now","Same as now","Much more",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election",NA,NA,NA,NA,"Yes, National",NA,NA,"Yes, Act",NA,NA,NA,"Yes, another party","Libertarians","","Green",33,"English","",NA,"UE, Bursary, Higher School or Higher Leaving Certificate",NA,"Working part-time for pay or other income",NA,NA,NA,NA,"Working unpaid outside the home","Working unpaid within the home","$NZ28,900-$NZ51,399",2,0,"Single, never married","”EDUCATION”","2","8","1","Centre","Right","8","3","Left","2","Never","No religion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Have no religious beliefs","NZ European",NA,NA,NA,NA,"",NA,"","Labour","Labour","Labour","Labour","Voting can make a big difference to what happens","Labour"
"38",52,NA,"Rarely","Not at all","Not at all","Yes, occasionally","No","No","No","No","7","7","7","2","2","1","1","1","National","","Become a republic with an NZ head of state","More","More","Same as now","Same as now","Same as now","More","More","Less","Same as now",NA,NA,"Yes, National helped form government after 2008 election","Yes, Greens helped form government after 2008 election",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, NZ First","Yes, Act","Yes, United Future","Yes, Maori Party","Yes, Mana Party",NA,"","","Green",36,"English","",NA,"Secondary education to School Certificate or NCEA","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ51,400-$NZ76,099",2,2,"Married, in a civil union or living with a partner","”BUSINESS AND REPAIR SERVICES”","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Never",NA,"Anglican",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Just not very religious","NZ European",NA,NA,NA,NA,"",NA,"","National","National","National","National","Voting can make a reasonable amount of difference to what happens","Labour"
"39",57,NA,"Often","Often","Often","Yes, frequently","No","Yes, rarely","No","No","0","10","0","0","6","2","0","0","National","","Retain Queen as head of state","Same as now","Much less","Much less","More","Less","Much less","Same as now","Much less","Less",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,"Yes, Labour",NA,"Yes, Green","Yes, NZ First",NA,"Yes, United Future","Yes, Maori Party","Yes, Mana Party",NA,"","","Act",46,"English","",NA,"University degree completed","Working full-time for pay or other income",NA,NA,NA,NA,"At school, university, or other educational institution",NA,"Working unpaid within the home","$NZ76,100-$NZ110,799",2,NA,"Single, never married","”RETAIL TRADE”","3","Centre","1","2","9","4","2","Left","Right","Never",NA,NA,"Presbyterian",NA,NA,NA,NA,NA,NA,NA,NA,"","Somewhat religious","NZ European",NA,NA,NA,NA,"",NA,"","National","National","National","National","Voting can make a big difference to what happens","National"
"40",14,NA,"Often",NA,NA,"Yes, occasionally","No","Yes, rarely","No","No","2","9","2","0","5","5","5","0","National","","Don't know","More","More","Less","Same as now","More","Same as now","More","Less","More",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,NA,NA,"Yes, Green","Yes, NZ First",NA,NA,NA,"Yes, Mana Party",NA,"","","Don't know",53,"English","",NA,"UE, Bursary, Higher School or Higher Leaving Certificate","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ76,100-$NZ110,799",2,1,"Married, in a civil union or living with a partner","”CONSTRUCTION”","4","7","1","Centre","9","Centre","4","Left","7","Never",NA,NA,"Presbyterian",NA,NA,NA,NA,NA,NA,NA,NA,"","Just not very religious","NZ European",NA,NA,NA,NA,"","NZ European","","National","National","National","National","Voting can make a big difference to what happens","National"
"41",41,NA,"Not at all","Rarely","Rarely","Yes, rarely","No","No","No","No","5","8","2","2","1","1","2","Don't know","National","","Retain Queen as head of state","More","More","Less","Same as now","More","Don't know","More","Less","Same as now","No, can't recall which parties formed government after 2008 election",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, Green",NA,"Yes, Act","Yes, United Future","Yes, Maori Party","Yes, Mana Party",NA,"","","Don't know",45,"English","",NA,"Secondary education to School Certificate or NCEA","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ51,400-$NZ76,099",2,1,"Married, in a civil union or living with a partner","”PROFESSIONAL AND RELATED SERVICES”","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Never",NA,NA,"Presbyterian",NA,NA,NA,NA,NA,NA,NA,NA,"","Just not very religious","NZ European",NA,NA,NA,NA,"",NA,"","National","National","National","National","Voting can make a big difference to what happens","National"
"42",7,NA,NA,NA,NA,"Yes, occasionally","No","No","No","No","5","9","4","3","3","3","0","0","National","","Retain Queen as head of state","More","More","Much less","Same as now","Same as now","Same as now","Same as now","Less","Same as now",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,"Yes, Labour",NA,NA,"Yes, NZ First",NA,NA,"Yes, Maori Party","Yes, Mana Party",NA,"","","Act",34,"English","",NA,"Non-degree professional trade or technical tertiary qualification","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ76,100-$NZ110,799",2,2,"Married, in a civil union or living with a partner","”AGRICULTURAL”","7","Right","3","Centre","Centre","Centre","1","Left","8","Once a year",NA,NA,NA,"Catholic",NA,NA,NA,NA,NA,NA,NA,"","Somewhat religious","NZ European",NA,NA,NA,NA,"","NZ European","","National","National","National","National","Voting can make some difference to what happens","National"
